round_id,profile_id,entry_at,settled_at,beijing_day,beijing_hour,seconds_to_round_start,pnl,cost,both_fill,single_fill,yes_first_fill_at,no_first_fill_at,both_complete_at,both_complete_seconds_to_start,first_fill_seconds_to_start,yes_fill_quote_age_seconds,no_fill_quote_age_seconds,limit_price,regime,chop_score,center_cross,range_bps,drift_ratio,momentum_ratio,queue_ratio,check_time_gap_seconds
btc-updown-15m-1786587300,btc-15m,2026-08-13 02:00:05.399000+00:00,2026-08-13 02:36:08.492000+00:00,2026-08-13,10,894.6010000705719,2.25,2.75,True,False,2026-08-13T02:21:48.271Z,2026-08-13T02:27:55.298Z,2026-08-13T02:27:55.298Z,-775.298,-408.271,0.022,0.015,0.31,,,,,,,,
btc-updown-5m-1786587900,btc-5m,2026-08-13 02:20:05.348000+00:00,2026-08-13 02:33:53.179000+00:00,2026-08-13,10,294.65199995040894,-1.35,1.35,False,True,,2026-08-13T02:25:34.741Z,,,-34.741,,0.017,0.29,,,,,,,,
btc-updown-5m-1786587600,btc-5m,2026-08-13 02:15:02.756000+00:00,2026-08-13 02:33:35.352000+00:00,2026-08-13,10,297.24399995803833,-1.4,1.4,False,True,2026-08-13T02:20:46.931Z,,,,-46.931,0.011,,0.29,,,,,,,,
btc-updown-5m-1786587300,btc-5m,2026-08-13 02:10:05.086000+00:00,2026-08-13 02:23:47.416000+00:00,2026-08-13,10,294.9140000343323,-1.4,1.4,False,True,2026-08-13T02:15:53.332Z,,,,-53.332,0.003,,0.29,,,,,,,,
btc-updown-5m-1786587000,btc-5m,2026-08-13 02:05:03.433000+00:00,2026-08-13 02:23:29.332000+00:00,2026-08-13,10,296.56699991226196,-1.4,1.4,False,True,2026-08-13T02:10:41.940Z,,,,-41.94,0.018,,0.29,,,,,,,,
btc-updown-15m-1786586400,btc-15m,2026-08-13 01:45:09.898000+00:00,2026-08-13 02:22:09.901000+00:00,2026-08-13,9,890.1019999980927,2.3,2.7,True,False,2026-08-13T02:07:00.991Z,2026-08-13T02:09:21.284Z,2026-08-13T02:09:21.284Z,-561.284,-420.991,0.042,0.015,0.31,,,,,,,,
btc-updown-5m-1786586700,btc-5m,2026-08-13 02:00:02.827000+00:00,2026-08-13 02:15:40.644000+00:00,2026-08-13,10,297.1730000972748,3.1,1.9,True,False,2026-08-13T02:06:57.125Z,2026-08-13T02:08:39.345Z,2026-08-13T02:08:39.345Z,-219.345,-117.125,0.003,0.008,0.29,,,,,,,,
btc-updown-5m-1786586400,btc-5m,2026-08-13 01:55:07.120000+00:00,2026-08-13 02:13:20.191000+00:00,2026-08-13,9,292.8800001144409,2.4,2.6,True,False,2026-08-13T02:04:16.410Z,2026-08-13T02:00:45.356Z,2026-08-13T02:04:16.410Z,-256.41,-45.356,0.011,0.022,0.29,,,,,,,,
btc-updown-5m-1786586100,btc-5m,2026-08-13 01:50:06.249000+00:00,2026-08-13 02:10:06.306000+00:00,2026-08-13,9,293.75099992752075,2.7,2.3,True,False,2026-08-13T01:57:51.347Z,2026-08-13T01:55:10.581Z,2026-08-13T01:57:51.347Z,-171.347,-10.581,0.015,0.011,0.29,,,,,,,,
btc-updown-15m-1786585500,btc-15m,2026-08-13 01:30:07.509000+00:00,2026-08-13 02:05:59.460000+00:00,2026-08-13,9,892.4909999370575,1.95,3.05,True,False,2026-08-13T01:45:04.781Z,2026-08-13T01:50:31.790Z,2026-08-13T01:50:31.790Z,-331.79,-4.781,0.55,0.011,0.31,,,,,,,,
btc-updown-5m-1786585800,btc-5m,2026-08-13 01:45:06.978000+00:00,2026-08-13 02:02:49.754000+00:00,2026-08-13,9,293.0220000743866,-1.35,1.35,False,True,,2026-08-13T01:51:14.179Z,,,-74.179,,0.011,0.29,,,,,,,,
btc-updown-5m-1786585500,btc-5m,2026-08-13 01:40:06.226000+00:00,2026-08-13 01:55:02.596000+00:00,2026-08-13,9,293.7739999294281,2.65,2.35,True,False,2026-08-13T01:45:15.256Z,2026-08-13T01:47:29.124Z,2026-08-13T01:47:29.124Z,-149.124,-15.256,0.002,0.014,0.29,,,,,,,,
btc-updown-15m-1786584600,btc-15m,2026-08-13 01:15:07.809000+00:00,2026-08-13 01:51:02.735000+00:00,2026-08-13,9,892.1909999847412,-1.55,1.55,False,True,,2026-08-13T01:33:17.112Z,,,-197.112,,0.006,0.31,,,,,,,,
btc-updown-5m-1786585200,btc-5m,2026-08-13 01:35:05.835000+00:00,2026-08-13 01:50:02.156000+00:00,2026-08-13,9,294.164999961853,-1.35,1.35,False,True,2026-08-13T01:40:59.058Z,,,,-59.058,0.009,,0.29,,,,,,,,
btc-updown-5m-1786584900,btc-5m,2026-08-13 01:30:05.371000+00:00,2026-08-13 01:49:57.924000+00:00,2026-08-13,9,294.6289999485016,-1.3,1.3,False,True,,2026-08-13T01:35:11.818Z,,,-11.818,,0.024,0.29,,,,,,,,
btc-updown-5m-1786584600,btc-5m,2026-08-13 01:25:03.120000+00:00,2026-08-13 01:39:24.931000+00:00,2026-08-13,9,296.8800001144409,-1.45,1.45,False,True,,2026-08-13T01:31:21.346Z,,,-81.346,,0.013,0.29,,,,,,,,
btc-updown-5m-1786584300,btc-5m,2026-08-13 01:20:05.577000+00:00,2026-08-13 01:38:56.927000+00:00,2026-08-13,9,294.4230000972748,-1.3,1.3,False,True,2026-08-13T01:25:39.788Z,,,,-39.788,0.007,,0.29,,,,,,,,
btc-updown-15m-1786583700,btc-15m,2026-08-13 01:00:12.962000+00:00,2026-08-13 01:35:55.426000+00:00,2026-08-13,9,887.0380001068115,-1.45,1.45,False,True,2026-08-13T01:18:13.833Z,,,,-193.833,0.002,,0.31,,,,,,,,
btc-updown-5m-1786584000,btc-5m,2026-08-13 01:15:05.849000+00:00,2026-08-13 01:29:19.979000+00:00,2026-08-13,9,294.1510000228882,2.5,2.5,True,False,2026-08-13T01:22:07.281Z,2026-08-13T01:20:40.253Z,2026-08-13T01:22:07.281Z,-127.281,-40.253,0.009,0.004,0.29,,,,,,,,
btc-updown-5m-1786583700,btc-5m,2026-08-13 01:10:05.926000+00:00,2026-08-13 01:27:49.691000+00:00,2026-08-13,9,294.0739998817444,-1.45,1.45,False,True,2026-08-13T01:15:49.050Z,,,,-49.05,0.113,,0.29,,,,,,,,
btc-updown-5m-1786583400,btc-5m,2026-08-13 01:05:05.146000+00:00,2026-08-13 01:22:05.345000+00:00,2026-08-13,9,294.85400009155273,-1.45,1.45,False,True,,2026-08-13T01:10:18.055Z,,,-18.055,,0.019,0.29,,,,,,,,
btc-updown-15m-1786582800,btc-15m,2026-08-13 00:45:08.680000+00:00,2026-08-13 01:20:54.544000+00:00,2026-08-13,8,891.3199999332428,2.05,2.95,True,False,2026-08-13T01:00:07.105Z,2026-08-13T01:10:32.285Z,2026-08-13T01:10:32.285Z,-632.285,-7.105,0.571,0.007,0.31,,,,,,,,
btc-updown-5m-1786583100,btc-5m,2026-08-13 01:00:10.312000+00:00,2026-08-13 01:14:42.446000+00:00,2026-08-13,9,289.6879999637604,-1.45,1.45,False,True,,2026-08-13T01:08:54.478Z,,,-234.478,,2.607,0.29,,,,,,,,
